title,subject
The snowman,"Picture books,Toy and movable books,Readers,Accessible book,Fiction,Miniature books,Specimens,Stories without words,Problems, exercises,Vocabulary,Juvenile literature,JUVENILE FICTION,Social Themes,Study and teaching,Picture books for children,Dreams,Cartoons and caricatures,Comics & Graphic Novels,Protected DAISY,English language,Cartoons and comics,Friendship,Children's fiction,Fantasy fiction,Juvenile fiction,Bedtime & Dreams,General,Study and teaching (Primary),Welsh language,Snowmen"
Around the World in 80 Days,"Fiction, action & adventure,Continental european fiction (fictional works by one author),Picture books,Voyages and travels, fiction,Adventure and adventurers,Juvenile fiction,Comics & graphic novels, general,Fiction, science fiction, general,Child and youth fiction,Voyages around the world,Adventure and adventurers, fiction,Fiction,Children's fiction"
Rosie's walk,"Race relations,Picture books,Hunting,Escapes,Juvenile fiction,Chickens,Board books,Foxes,Fiction,Chinese language materials,Accessible book,Juvenile Wit and humor,Hunting accidents,Protected DAISY,Domestic animals,Spanish language materials"
A squash and a squeeze,"Fiction,Stories in rhyme,Humorous stories,Dwellings,Domestic animals,Juvenile fiction,Children's poetry,Children's fiction,Houses, fiction,Domestic animals, fiction,Older women,Farm life,Mens-dier-relatie,Crowding stress,Picture books,Toy and movable books,Accessible book,Protected DAISY"
The Carrot Seed,"Plants, fiction,Jardinería,Vegetable gardening,Gardening,Picture books,Juvenile fiction,Carrots,Gardening, fiction,Fiction,Accessible book,Ficción juvenil,Stories,Seeds,Protected DAISY,Children's fiction,Gardens"
Harry the Dirty Dog,"Picture books,Cleanliness,Accessible book,Juvenile fiction,Dogs,Hygiene,Dogs, fiction,Protected DAISY,Children's fiction,Fiction,Spanish language materials"
Chicken Soup with Rice,"Picture books,Juvenile poetry,UP Elementary,Poetry,Fiction,Rice,Humorous poetry,Accessible book,Before kindergarten,Children's literature,Boys,Seasons,Entering 2nd grade,Months, poetry,Soups,Chicken soup,Months,Jewish Cooking,Reading List,Stories in rhyme,American poetry,Hockaday,Juvenile fiction,Children's poetry,Nonsense verses,Grandmothers,Protected DAISY"
Peter's Chair,"Picture books,Hmong language materials,Spanish language materials,Fiction,Babies,Hermanos,Brothers,Brothers and sisters, fiction,African Americans,Accessible book,Niños lactantes,Chairs,Chinese language materials,Ficción juvenil,Children's stories,Infants,Chairs, fiction,Children's fiction,Brothers and sisters,Family,Juvenile fiction,Infants, fiction,Protected DAISY,Bilingual"
Curious George,"Monkeys,Curious George (Fictitious character),Readers,Spanish language,Fiction,Monos,Spanish language materials,Giraffe,Big books,Bilingual,Juvenile fiction,Novela,Ficción juvenil,Curiosity,Children's fiction,Monkeys, fiction,Picture books,Curious george (fictitious character), fiction,Giraffes, fiction,Accessible book,Protected DAISY"
Monkey Puzzle,"Jungle animals,Mothers,Juvenile fiction,Miscommunication,Fiction,Stories in rhyme,Lost children,Affen,Picture books for children,Monkeys,Fantasie,Butterflies, fiction,Monkeys, fiction,Children's fiction,Picture books,Mother and child, fiction,Mothers and sons, fiction,Children's stories, English,Animals,Monkeys in fiction,Jungle animals in fiction,Butterflies in fiction,Butterflies,Accessible book,Protected DAISY"
Madeline's rescue,"Picture books,Accessible book,Girls,Fiction,Paris (france), fiction,Dogs, fiction,Madeline (fictitious character), fiction,Dogs,Students,Rescues,Caldecott Medal,Schools,Picture books for children,Caldecott medal book,France, fiction,Madeline (Fictitious character),Children's stories, American,Orphans,Animal welfare,Stories in rhyme,Children's stories,Orphans, fiction,Children's fiction,Juvenile fiction,Protected DAISY,Paris (France)"
Harold and the Purple Crayon,"Animals,Children's Books/Baby-Preschool,Fiction,Fantasy,Crayon drawing,Crayons,Spanish language materials,Crayones,Juvenile fiction,Ficción juvenil,Adventure stories,Drawing,Dibujo,Children's fiction,Toy and movable books,Imagination, fiction,Harold (fictitious character : johnson), fiction,Drawing, fiction,Fantasy fiction,Crayon drawing, fiction,picture books,Accessible book,Protected DAISY"
In the Night Kitchen,"Cooking, fiction,Baking,Picture books,Fantasy fiction,Juvenile fiction,Protected DAISY,Fiction,Fantasy,Accessible book,Children's stories,Pictures,Cake,Night, fiction,Children's fiction,Picture books for children,Milk,Dreams"
"Can't You Sleep, Little Bear?","Fear of the dark,Juvenile,Love,Picture books,Bears,Instruction and study,Juvenile fiction,Children's stories, English,Children's literature,Fiction,Beds,Music,Bedtime,Child development,Fear,Big books"
